Title,Price,Image Link
"Realme 12 8GB Ram 256GB Rom 50MP Rear Camera 16MP Front Camera 6.67"" Amoled 120Hz Display 5000mAh Battery Octa Core Chipset PTA Approved 1 Year Brand Warranty","57,199",https://static-01.daraz.pk/p/37bb842fa4b065d85b91376bc72a6542.png_300x0q75.webp
,"31,999",https://static-01.daraz.pk/p/e180aca14dd803ed6e8fab4595b8f0aa.jpg_300x0q75.webp
"Itel S23 - 6.6"" Inch Display - 8GB + 8GB RAM - 128GB / 256GB ROM","22,250",https://static-01.daraz.pk/p/e5ce5fc689627a48325a833c57c736c8.jpg_300x0q75.webp
"Infinix Hot 40 - 6.78"" Inch Display - 8GB RAM - 128GB & 256GB ROM","37,499",https://static-01.daraz.pk/p/0d05c228ace41b115dcb4886e1d19f9b.jpg_300x0q75.webp
,"31,500",https://static-01.daraz.pk/p/11b5c1766e251b49bcc98a5bf7206942.jpg_300x0q75.webp
"Itel A60s - 6.6"" Inch Display - 4GB+4GB RAM - 128GB ROM","19,990",https://static-01.daraz.pk/p/5901238da1115793a86ec5770f0c0c45.jpg_300x0q75.webp
Tecno Spark 20 - 8GB RAM 128GB256GB ROM - 6.56 Inches Display - Dual SIM - 5000mAh Battery,"32,299",https://static-01.daraz.pk/p/0b3e9044cde24e1367342faa030fcb9c.png_300x0q75.webp
"Infinix Note 40 8GB RAM 256GB STORAGE 108MP Camera 120Hz 6.7"" AMOLED Display 5000mAh Battery Official PTA Approved Warranty","53,444",https://static-01.daraz.pk/p/046cfd391b2d9b29540410d78bcc7d49.jpg_300x0q75.webp
Tecno Spark 20 || 8GB RAM 128GB ROM || Battery 5000mAh,"30,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
,"19,950","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
itel S23 -  8GB RAM 128GB/256GB ROM - 6.6 Inches 90hZ Display - 5000mAh Battery,"22,499","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Tecno Spark 20 - 8GB RAM 128GB/256GB ROM - Dual SIM - 5000mAh Battery,"31,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Realme Note 50 4GB Ram 128GB Rom 6.74"" Display 13MP Rear Camera 5000mAh Battery PTA Approved One Year Brand Warranty","26,649","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
,"34,199","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
,"83,499","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
,"31,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Samsung Galaxy A04 - 6.5"" Inch Display - 4GB RAM - 64GB ROM","26,399","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Realme Note 50 RAM 4 GB ROM 128 GB Front Camera 5 MP Back Camera	13 MP + 0.08 MP  Battery Type	5000 mAh,"27,480","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Samsung Galaxy A04 - 6.5"" Inch Display - 3GB RAM - 32GB ROM","18,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
,"24,199","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
,"104,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
