Page,Title,Price,Sold,Date
2,"Realme C51 - 6.74"" Inch Display - 3GB+4GB Extended RAM - 64GB ROM","Rs. 24,499",7 sold,2024-08-06 13:06:08.178054+00:00
2,"Itel Flip 1 2.4"" Display With Camera 1200 mAh Battery Wireless FM Dual Sim","Rs. 7,499",20 sold,2024-08-06 13:06:08.178054+00:00
2,Vivo V30e - 6.78 Inches Display - 8GB RAM 256GB ROM - 32MP Front Camera - 50MP + 8MP Rear Camera - Dual SIM - 5500mAh Battery,"Rs. 93,999",20 sold,2024-08-06 13:06:08.179054+00:00
2,"TECNO SPARK 20 128GB ROM+16GB RAM*(8GB+8GB Extended) 5000mAh(typ) BATTERY  6.6"" HD+ 90Hz Refresh Rate PTA APPROVED OFFICIAL BRAND WARRANTY","Rs. 32,999",137 sold,2024-08-06 13:06:08.179054+00:00
2,"Samsung Galaxy A05 - 6.7"" Inch Display - 4GB RAM - 64GB ROM","Rs. 25,850",27 sold,2024-08-06 13:06:08.180054+00:00
2,"Itel A70 Pro || 4GB+8GB Ram + 256GB Memory || 6.6"" IPS Dispaly || Battery Non-removable Li-Po 5000mAh Battery Charging 10W","Rs. 25,999",28 sold,2024-08-06 13:06:08.180558+00:00
2,realme C65 (Unbreakable Champion) 8GB RAM+ 256GB ROM 5000mAh Battery,"Rs. 49,999",,2024-08-06 13:06:08.180558+00:00
2,Samsung Galaxy A05 - 4GB 64GB - PTA Approved 1 Year Official Warranty,"Rs. 25,999",40 sold,2024-08-06 13:06:08.180558+00:00
2,"Samsung A15 -13MP Front Camera - 50MP+5MP+2MP Triple Rear Camera - 6GB RAM 128GB ROM - 6.5 Inches  Super AMOLED Display - Dual SIM - USB Type-C - 5000 mAh, non-removable - 1 Year Warranty","Rs. 52,999",21 sold,2024-08-06 13:06:08.181564+00:00
2,"Samsung Galaxy A05s - 6.7"" Inch Display - 6GB RAM - 128GB ROM","Rs. 44,899",21 sold,2024-08-06 13:06:08.181564+00:00
